,Name,era,field,theory
0,Auguste Comte,eighteen,science,atheist
1,Auguste Comte,eighteen,science,humanists
2,David Hume,eighteen,mind,atheist
3,David Hume,eighteen,mind,utilitarian
4,David Hume,eighteen,religion,atheist
5,David Hume,eighteen,religion,utilitarian
6,David Hume,eighteen,science,atheist
7,David Hume,eighteen,science,utilitarian
8,William Paley,eighteen,religion,utilitarian
9,William Paley,eighteen,religion,utilitarian
10,Alexander Bain (philosopher),ninteen,mind,utilitarian
11,Niels Bohr,ninteen,science,humanists
12,Rudolf Carnap,ninteen,language,atheist
13,Rudolf Carnap,ninteen,science,atheist
14,John Dewey,ninteen,science,atheist
15,John Dewey,ninteen,science,humanists
16,Albert Einstein,ninteen,science,humanists
17,William Stanley Jevons,ninteen,science,utilitarian
18,John Stuart Mill,ninteen,language,atheist
19,John Stuart Mill,ninteen,language,utilitarian
20,John Stuart Mill,ninteen,language,utilitarian
21,John Stuart Mill,ninteen,science,atheist
22,John Stuart Mill,ninteen,science,utilitarian
23,John Stuart Mill,ninteen,science,utilitarian
24,Friedrich Nietzsche,ninteen,religion,atheist
25,Bertrand Russell,ninteen,language,atheist
26,Bertrand Russell,ninteen,language,humanists
27,Bertrand Russell,ninteen,language,utilitarian
28,Bertrand Russell,ninteen,science,atheist
29,Bertrand Russell,ninteen,science,humanists
30,Bertrand Russell,ninteen,science,utilitarian
31,Moritz Schlick,ninteen,science,atheist
32,Harriet Taylor Mill,ninteen,feminist,utilitarian
33,Louise Antony,twenty,mind,atheist
34,Simone de Beauvoir,twenty,feminist,atheist
35,Mario Bunge,twenty,science,atheist
36,Mario Bunge,twenty,science,humanists
37,David Chalmers,twenty,language,atheist
38,David Chalmers,twenty,language,rationalist
39,David Chalmers,twenty,language,rationalist
40,David Chalmers,twenty,mind,atheist
41,David Chalmers,twenty,mind,rationalist
42,David Chalmers,twenty,mind,rationalist
43,Noam Chomsky,twenty,language,humanists
44,Noam Chomsky,twenty,language,rationalist
45,Noam Chomsky,twenty,language,rationalist
46,Noam Chomsky,twenty,mind,humanists
47,Noam Chomsky,twenty,mind,rationalist
48,Noam Chomsky,twenty,mind,rationalist
49,Noam Chomsky,twenty,science,humanists
50,Noam Chomsky,twenty,science,rationalist
51,Noam Chomsky,twenty,science,rationalist
52,Patricia Churchland,twenty,mind,atheist
53,Patricia Churchland,twenty,science,atheist
54,Paul Churchland,twenty,mind,atheist
55,Paul Churchland,twenty,science,atheist
56,Donald Davidson (philosopher),twenty,language,atheist
57,Donald Davidson (philosopher),twenty,mind,atheist
58,Daniel Dennett,twenty,mind,atheist
59,Daniel Dennett,twenty,mind,humanists
60,Daniel Dennett,twenty,science,atheist
61,Daniel Dennett,twenty,science,humanists
62,Jacques Derrida,twenty,religion,atheist
63,Rebecca Goldstein,twenty,science,atheist
64,Rebecca Goldstein,twenty,science,humanists
65,Susan Haack,twenty,language,atheist
66,Susan Haack,twenty,science,atheist
67,Donna Haraway,twenty,mind,environmental
68,Donna Haraway,twenty,science,environmental
69,Donna Haraway,twenty,feminist,environmental
70,Peter Lipton,twenty,science,atheist
71,Massimo Pigliucci,twenty,science,atheist
72,Alvin Plantinga,twenty,religion,rationalist
73,Alvin Plantinga,twenty,religion,rationalist
74,Karl Popper,twenty,mind,humanists
75,Karl Popper,twenty,mind,utilitarian
76,Karl Popper,twenty,science,humanists
77,Karl Popper,twenty,science,utilitarian
78,Hilary Putnam,twenty,language,atheist
79,Hilary Putnam,twenty,mind,atheist
80,Hilary Putnam,twenty,science,atheist
81,Willard Van Orman Quine,twenty,language,atheist
82,Frank P. Ramsey,twenty,science,atheist
83,Richard Rorty,twenty,language,atheist
84,Richard Rorty,twenty,language,humanists
85,Richard Rorty,twenty,mind,atheist
86,Richard Rorty,twenty,mind,humanists
87,Alexander Rosenberg,twenty,science,atheist
88,Michael Ruse,twenty,science,atheist
89,John Searle,twenty,language,atheist
90,John Searle,twenty,mind,atheist
91,J. J. C. Smart,twenty,mind,utilitarian
92,Timothy Sprigge,twenty,mind,utilitarian
93,Francisco Varela,twenty,mind,environmental
